date,forecast
2024-08-15,241.19943423154174
2024-08-16,20.14704314326056
2024-08-17,222.7352447347236
2024-08-18,37.068945347478206
2024-08-19,207.22680477539302
2024-08-20,51.28198753798415
2024-08-21,194.20095763416825
2024-08-22,63.219804331343994
2024-08-23,183.26028957268016
2024-08-24,73.2466140657877
2024-08-25,174.07100488862767
2024-08-26,81.66833096687604
2024-08-27,166.35274193338762
2024-08-28,88.74189847643369
2024-08-29,159.87001938267437
2024-08-30,94.68312850113368
2024-08-31,154.4250517891572
2024-09-01,99.67328575328439
2024-09-02,149.85171522222512
2024-09-03,103.86461806960043
2024-09-04,146.0104788888188
2024-09-05,107.38500143592097
2024-09-06,142.7841481009715
2024-09-07,110.34184143584713
2024-09-08,140.07428870958626
2024-09-09,112.82535015504133
2024-09-10,137.79822391525732
2024-09-11,114.9112985183169
2024-09-12,135.8865118299541
2024-09-13,116.6633280322957
